patch_path,class,split
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/guiness/1008198576_jpg.rf.fc66b62b4b4ae77a8019b30cfa520864_312_150_560_261.jpg,guiness,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/dhl/1016381746_jpg.rf.828da6346cddaa2d479f3aea5273fca4_315_114_640_364.jpg,dhl,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/fosters/1030265231_jpg.rf.b7c0708b3a4157dfad33eb509bc60ebf_265_154_368_320.jpg,fosters,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/fosters/1034987742_jpg.rf.48fe417d36718a8533a171e75f8b875f_245_289_486_565.jpg,fosters,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/corona/1064236942_jpg.rf.67c6fce9ea45d87a13a3fd1045a17194_217_382_428_610.jpg,corona,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/dhl/1074088462_jpg.rf.48be8b016741dc2d7efd8dddc5cdb035_424_222_580_306.jpg,dhl,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/dhl/1074088462_jpg.rf.48be8b016741dc2d7efd8dddc5cdb035_246_191_302_229.jpg,dhl,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/corona/1077593112_jpg.rf.adf6aeb17c36f416e83d78e7a6b8156d_379_401_460_574.jpg,corona,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/corona/1099996974_jpg.rf.55e747c58f5f079643d1a2f624897f18_217_396_468_587.jpg,corona,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/corona/1099996974_jpg.rf.55e747c58f5f079643d1a2f624897f18_479_411_555_472.jpg,corona,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/dhl/1110017900_jpg.rf.cacba20f1da9a27b0d01847e393309dc_142_365_351_437.jpg,dhl,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/corona/1115423721_jpg.rf.139e2507bbfd3d74abc74489b5bdecba_95_361_283_582.jpg,corona,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/dhl/1126316527_jpg.rf.183730aaaa6b84b532d731f51d43ce88_370_236_490_295.jpg,dhl,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/dhl/1126316527_jpg.rf.183730aaaa6b84b532d731f51d43ce88_148_177_195_206.jpg,dhl,train
/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/processed/patches/google/1140517362_jpg.rf.a08268cdff9790c7466669c49e0491c6_2_48_627_583.jpg,google,train
